timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610557546547,2617,Blazedemo - Get,200,OK,Spike Test 3-21,text,true,,3228,115,100,385,https://blazedemo.com/,2617,0,1014
1610557547291,1874,Blazedemo - Get,200,OK,Load Test 1-272,text,true,,3228,115,99,385,https://blazedemo.com/,1874,0,1079
1610557546547,2617,Blazedemo - Get,200,OK,Spike Test 3-90,text,true,,3228,115,100,385,https://blazedemo.com/,2617,0,1746
1610557546546,2652,Blazedemo - Get,200,OK,Spike Test 3-69,text,true,,3228,115,100,387,https://blazedemo.com/,2652,0,1012
1610557546549,2649,Blazedemo - Get,500,Internal Server Error,Soak Test 2-3,text,false,Test failed: code expected to contain /200/,1837,115,160,387,https://blazedemo.com/,2649,0,1687
1610557546546,2652,Blazedemo - Get,200,OK,Spike Test 3-74,text,true,,3228,115,100,387,https://blazedemo.com/,2652,0,1877
1610557546923,2276,Blazedemo - Get,200,OK,Load Test 1-283,text,true,,3228,115,100,387,https://blazedemo.com/,2276,0,479
1610557546554,2728,Blazedemo - Get,200,OK,Stress Test 4-500,text,true,,3228,115,27,389,https://blazedemo.com/,2728,0,848
1610557546549,2732,Blazedemo - Get,200,OK,Spike Test 3-32,text,true,,3228,115,100,389,https://blazedemo.com/,2732,0,799
1610557546545,2736,Blazedemo - Get,200,OK,Soak Test 2-136,text,true,,3228,115,160,389,https://blazedemo.com/,2736,0,1018
1610557546549,2803,Blazedemo - Get,200,OK,Spike Test 3-11,text,true,,3228,115,100,392,https://blazedemo.com/,2803,0,1008
1610557547231,2221,Blazedemo - Get,200,OK,Load Test 1-281,text,true,,3228,115,107,396,https://blazedemo.com/,2221,0,1213
1610557546545,2907,Blazedemo - Get,200,OK,Soak Test 2-151,text,true,,3228,115,160,396,https://blazedemo.com/,2907,0,1287
1610557546547,2993,Blazedemo - Get,200,OK,Soak Test 2-119,text,true,,3228,115,160,400,https://blazedemo.com/,2993,0,1649
1610557546545,2995,Blazedemo - Get,200,OK,Soak Test 2-81,text,true,,3228,115,160,400,https://blazedemo.com/,2995,0,1610
1610557546547,2993,Blazedemo - Get,200,OK,Spike Test 3-57,text,true,,3228,115,100,400,https://blazedemo.com/,2993,0,1085
1610557547351,2217,Blazedemo - Get,200,OK,Load Test 1-270,text,true,,3228,115,110,400,https://blazedemo.com/,2217,0,1242
1610557546546,3021,Blazedemo - Get,200,OK,Soak Test 2-114,text,true,,3228,115,160,400,https://blazedemo.com/,3021,0,1897
1610557546548,3077,Blazedemo - Get,200,OK,Soak Test 2-80,text,true,,3228,115,160,402,https://blazedemo.com/,3051,0,1688
1610557546546,3103,Blazedemo - Get,200,OK,Soak Test 2-51,text,true,,3228,115,160,404,https://blazedemo.com/,3080,0,1476
1610557546545,3104,Blazedemo - Get,200,OK,Soak Test 2-24,text,true,,3228,115,160,404,https://blazedemo.com/,3104,0,1508
1610557546545,3104,Blazedemo - Get,200,OK,Soak Test 2-104,text,true,,3228,115,160,404,https://blazedemo.com/,3104,0,1289
1610557546872,2778,Blazedemo - Get,200,OK,Load Test 1-285,text,true,,3228,115,113,404,https://blazedemo.com/,2778,0,473
1610557546545,3111,Blazedemo - Get,200,OK,Spike Test 3-77,text,true,,3228,115,100,404,https://blazedemo.com/,3111,0,1231
1610557546545,3126,Blazedemo - Get,200,OK,Soak Test 2-85,text,true,,3228,115,160,405,https://blazedemo.com/,3126,0,1318
1610557546548,3134,Blazedemo - Get,200,OK,Spike Test 3-39,text,true,,3228,115,100,405,https://blazedemo.com/,3125,0,1535
1610557546546,3137,Blazedemo - Get,200,OK,Soak Test 2-123,text,true,,3228,115,160,405,https://blazedemo.com/,3137,0,803
1610557546550,3133,Blazedemo - Get,200,OK,Spike Test 3-27,text,true,,3228,115,100,405,https://blazedemo.com/,3133,0,1997
1610557546545,3138,Blazedemo - Get,200,OK,Spike Test 3-26,text,true,,3228,115,100,405,https://blazedemo.com/,3138,0,1476
1610557546546,3137,Blazedemo - Get,200,OK,Spike Test 3-35,text,true,,3228,115,100,405,https://blazedemo.com/,3137,0,914
1610557547447,2237,Blazedemo - Get,200,OK,Load Test 1-267,text,true,,3228,115,114,405,https://blazedemo.com/,2237,0,1375
1610557546544,3154,Blazedemo - Get,200,OK,Spike Test 3-9,text,true,,3228,115,100,406,https://blazedemo.com/,3153,0,1020
1610557546546,3157,Blazedemo - Get,200,OK,Soak Test 2-32,text,true,,3228,115,160,406,https://blazedemo.com/,3157,0,1690
1610557546548,3156,Blazedemo - Get,200,OK,Soak Test 2-76,text,true,,3228,115,160,406,https://blazedemo.com/,3156,0,1084
1610557546546,3161,Blazedemo - Get,200,OK,Spike Test 3-87,text,true,,3228,115,100,406,https://blazedemo.com/,3158,0,1476
1610557546546,3175,Blazedemo - Get,200,OK,Spike Test 3-56,text,true,,3228,115,100,406,https://blazedemo.com/,3164,0,2038
1610557547651,2078,Blazedemo - Get,200,OK,Load Test 1-261,text,true,,3228,115,116,407,https://blazedemo.com/,2072,0,1313
1610557547679,2076,Blazedemo - Get,200,OK,Load Test 1-263,text,true,,3228,115,116,407,https://blazedemo.com/,2076,0,1285
1610557547682,2073,Blazedemo - Get,200,OK,Load Test 1-266,text,true,,3228,115,116,407,https://blazedemo.com/,2073,0,1282
1610557546549,3268,Blazedemo - Get,200,OK,Soak Test 2-126,text,true,,3228,115,160,410,https://blazedemo.com/,3268,0,1396
1610557547680,2157,Blazedemo - Get,200,OK,Load Test 1-265,text,true,,3228,115,119,411,https://blazedemo.com/,2157,0,1324
1610557546546,3297,Blazedemo - Get,200,OK,Soak Test 2-17,text,true,,3228,115,160,411,https://blazedemo.com/,3297,0,1086
1610557547683,2164,Blazedemo - Get,200,OK,Load Test 1-268,text,true,,3228,115,119,411,https://blazedemo.com/,2164,0,1322
1610557546696,3154,Blazedemo - Get,200,OK,Stress Test 4-499,text,true,,3228,115,32,411,https://blazedemo.com/,3154,0,2393
1610557547742,2108,Blazedemo - Get,200,OK,Stress Test 4-490,text,true,,3228,115,32,411,https://blazedemo.com/,2108,0,1348
1610557546545,3306,Blazedemo - Get,200,OK,Spike Test 3-20,text,true,,3228,115,100,411,https://blazedemo.com/,3306,0,1477
1610557546781,3072,Blazedemo - Get,200,OK,Load Test 1-287,text,true,,3228,115,119,411,https://blazedemo.com/,3072,0,2326
1610557547755,2099,Blazedemo - Get,200,OK,Load Test 1-258,text,true,,3228,115,119,411,https://blazedemo.com/,2099,0,1334
1610557546548,3305,Blazedemo - Get,200,OK,Soak Test 2-39,text,true,,3228,115,160,411,https://blazedemo.com/,3305,0,1475
1610557546546,3309,Blazedemo - Get,200,OK,Spike Test 3-98,text,true,,3228,115,100,411,https://blazedemo.com/,3307,0,617
1610557546549,3306,Blazedemo - Get,200,OK,Spike Test 3-3,text,true,,3228,115,100,411,https://blazedemo.com/,3306,0,857
1610557547883,1974,Blazedemo - Get,200,OK,Load Test 1-254,text,true,,3228,115,119,411,https://blazedemo.com/,1974,0,1283
1610557547846,2028,Blazedemo - Get,200,OK,Load Test 1-255,text,true,,3228,115,119,411,https://blazedemo.com/,2028,0,1320
1610557546548,3325,Blazedemo - Get,200,OK,Soak Test 2-66,text,true,,3228,115,160,411,https://blazedemo.com/,3325,0,1744
1610557547856,2018,Blazedemo - Get,200,OK,Stress Test 4-489,text,true,,3228,115,32,411,https://blazedemo.com/,2018,0,1309
1610557547686,2188,Blazedemo - Get,200,OK,Stress Test 4-493,text,true,,3228,115,32,411,https://blazedemo.com/,2171,0,1318
1610557546546,3333,Blazedemo - Get,200,OK,Soak Test 2-139,text,true,,3228,115,160,412,https://blazedemo.com/,3333,0,1717
1610557548112,1769,Blazedemo - Get,200,OK,Load Test 1-247,text,true,,3228,115,119,412,https://blazedemo.com/,1769,0,1089
1610557546747,3134,Blazedemo - Get,200,OK,Load Test 1-288,text,true,,3228,115,119,412,https://blazedemo.com/,3134,0,2342
1610557546548,3332,Blazedemo - Get,200,OK,Soak Test 2-4,text,true,,3228,115,160,412,https://blazedemo.com/,3332,0,1745
1610557546545,3337,Blazedemo - Get,200,OK,Soak Test 2-65,text,true,,3228,115,160,412,https://blazedemo.com/,3337,0,1747
1610557546547,3336,Blazedemo - Get,200,OK,Soak Test 2-67,text,true,,3228,115,160,412,https://blazedemo.com/,3336,0,1398
1610557547228,2678,Blazedemo - Get,200,OK,Load Test 1-277,text,true,,3228,115,121,414,https://blazedemo.com/,2678,0,769
1610557547949,1957,Blazedemo - Get,200,OK,Load Test 1-252,text,true,,3228,115,121,414,https://blazedemo.com/,1957,0,1251
1610557546547,3384,Blazedemo - Get,200,OK,Spike Test 3-36,text,true,,3228,115,100,415,https://blazedemo.com/,3384,0,1286
1610557546549,3445,Blazedemo - Get,200,OK,Spike Test 3-47,text,true,,3228,115,100,418,https://blazedemo.com/,3426,0,1013
1610557547326,2669,Blazedemo - Get,200,OK,Load Test 1-271,text,true,,3228,115,124,418,https://blazedemo.com/,2669,0,1267
1610557546547,3447,Blazedemo - Get,200,OK,Spike Test 3-62,text,true,,3228,115,100,418,https://blazedemo.com/,3447,0,1450
1610557546549,3445,Blazedemo - Get,200,OK,Soak Test 2-111,text,true,,3228,115,160,418,https://blazedemo.com/,3445,0,797
1610557546547,3447,Blazedemo - Get,200,OK,Soak Test 2-30,text,true,,3228,115,160,418,https://blazedemo.com/,3447,0,1012
1610557547980,2047,Blazedemo - Get,200,OK,Load Test 1-251,text,true,,3228,115,125,419,https://blazedemo.com/,2047,0,1220
1610557546550,3477,Blazedemo - Get,200,OK,Spike Test 3-65,text,true,,3228,115,100,419,https://blazedemo.com/,3477,0,1395
1610557546545,3495,Blazedemo - Get,200,OK,Spike Test 3-97,text,true,,3228,115,100,419,https://blazedemo.com/,3495,0,1018
1610557548322,1728,Blazedemo - Get,200,OK,Stress Test 4-485,text,true,,3228,115,34,419,https://blazedemo.com/,1719,0,1131
